"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xef3ff75c97bde62be23b3fe98e0b39d7531ba43541267c414b3cac3ba976f9cf","14081713","1643206144","2022-01-26 14:09:04","0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","10,022,276.3505","$10,036,587.82","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x7183ca4ee9f7658194d8d25abd74c07cfae09e61fb17381e027778b0e3c7a1c8","14082147","1643211803","2022-01-26 15:43:23","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","999,990","$1,001,462.72","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x7c169c976f72d2992fbe7dd235e0e837f59f65756d21d435b8a12be373ca4bd1","14082157","1643211883","2022-01-26 15:44:43","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","999,990","$1,001,462.72","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xc4039a7b1ae134af7de6381d887d2017ba9af8577f2da4f9ba89d1c85ef677e7","14082160","1643211952","2022-01-26 15:45:52","0xadedf8afb7bbc94caaf1dac6aaf1e7d67d758d05","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","3,999,990","$4,005,880.94","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x80ff96f06f52c538480a036f8a06f1804cc6d8c8e1b5d95a5e53fe3c265874d6","14082216","1643212739","2022-01-26 15:58:59","0xcd531ae9efcce479654c4926dec5f6209531ca7b","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","4,999,900","$5,007,263.55","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x9bc4e59d81e4774cf972bc4c50c5ff946ee4be78d4a648129e7cff3d74ee4064","14082535","1643217012","2022-01-26 17:10:12","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","2,999,000","$3,003,416.75","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xbf5c37163f9c0b0a5878cfcc3b7ff3580f3a17cfc2c9e4cc75c866ea3c5d5ad3","14082608","1643218078","2022-01-26 17:27:58","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1","$1.00","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x28917a0d089fe317786dbac0a1366431df6443e655e370a010a85e70a78238d9","14082787","1643220429","2022-01-26 18:07:09","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","23","$23.03","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xe8192440894cb5e0107dd7b5801dc242e65a0a17b4e61eced0dabae6b4b3d8c9","14082801","1643220562","2022-01-26 18:09:22","0xa81011ae274ef6debd3bdab634102c7b6c2c452d","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","4,999,455.027","$5,006,594.08","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x2b33382658a5fdc9d7d4c21b10471ac6cbf0e21542f4996320329f2452981287","14083106","1643224494","2022-01-26 19:14:54","0xa56775a136422f4410277014f4cec1c6291647e4","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","10,000,000","$10,014,727.39","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
